Institución;Tipo;Tasa;Tipo de Cuenta
BBVA;Banco;0,00;Cuenta Ganadora
Comercio;Banco;0,01;Maxiahorro preferencial
Crédito;Banco;0,00;Cuenta Premio
Pichincha;Banco;0,04;Cuenta de Ahorros
BIF;Banco;0,01;Cuenta Ahorro Genial
Scotiabank;Banco;0,01;Cuenta Power
Citibank;Banco;0,00;Pendiente
Interbank;Banco;0,01;Cuenta Millonaria
Mibanco;Banco;0,00;Pendiente
GNB;Banco;0,04;Cuenta Ahorro Rolando
Falabella;Banco;0,00;Pendiente
Santander;Banco;0,00;Pendiente
Ripley;Banco;0,00;Pendiente
Azteca;Banco;0,00;Pendiente
ICBC;Banco;0,00;Pendiente
Bank of China;Banco;0,00;Pendiente
